loss,val_auc,val_acc
0.6843278986793666,0.5756417910447762,0.546875
0.6843319039135336,0.5720597014925374,0.546875
0.6850231251341645,0.5745671641791045,0.546875
0.6842361737698465,0.5745671641791045,0.546875
0.6854787784843591,0.5746865671641791,0.546875
0.6841157628477544,0.573134328358209,0.5416666666666666
0.6842757836189802,0.5746865671641792,0.5520833333333334
0.6833814271180815,0.5764776119402986,0.5520833333333334
0.6839105206332486,0.5761194029850747,0.5520833333333334
0.6849653876728578,0.5742089552238806,0.5416666666666666
0.6843322372454906,0.5758805970149253,0.546875
0.684159031157895,0.5787462686567164,0.5520833333333334
0.6839247895588251,0.5749253731343283,0.5572916666666666
0.6847331197765744,0.5724179104477611,0.546875
0.6850579383966209,0.5722985074626866,0.546875
0.6850934730028593,0.5751641791044777,0.546875
0.68436598051822,0.5752835820895523,0.5520833333333334
0.6852318026958825,0.573134328358209,0.5520833333333334
0.6852305731376257,0.5724179104477611,0.5416666666666666
0.6840295754376373,0.5782686567164179,0.546875
0.6842484257721105,0.5748059701492538,0.5520833333333334
0.6846684709351413,0.575402985074627,0.5625
0.6853398154159147,0.5739701492537315,0.5520833333333334
0.6843477662095222,0.5730149253731343,0.5416666666666666
0.6842306744003519,0.5749253731343283,0.5572916666666666
0.6850673761698932,0.5743283582089552,0.5416666666666666
0.6836230583514226,0.5763582089552239,0.5520833333333334
0.683420809090895,0.5787462686567164,0.546875
0.6851926916366772,0.573731343283582,0.5416666666666666
0.6845643271912355,0.5751641791044776,0.546875
0.6848496376155871,0.5732537313432836,0.5520833333333334
0.685799948473321,0.5736119402985075,0.53125
0.6847426437860863,0.5742089552238806,0.5572916666666666
0.684143196647447,0.5775522388059702,0.5520833333333334
0.6834988761300497,0.5802985074626865,0.5572916666666666
0.6841016805444547,0.5717014925373134,0.5520833333333334
0.684072911984698,0.5754029850746268,0.5520833333333334
0.683932565136414,0.577910447761194,0.546875
0.6832488778992478,0.5800597014925373,0.546875
0.6850645928574393,0.5739701492537314,0.546875
0.684503789923745,0.5719402985074626,0.546875
0.6843125934769484,0.5728955223880596,0.5520833333333334
0.6850966359828169,0.5750447761194031,0.546875
0.684884810761362,0.5722985074626865,0.5520833333333334
0.6845247796068327,0.5749253731343283,0.546875
0.6846014378136802,0.5738507462686567,0.546875
0.6848931918694948,0.5746865671641791,0.5364583333333334
0.6843297624025692,0.5740895522388059,0.5572916666666666
0.6848758748406727,0.5761194029850746,0.5572916666666666
0.6837391002627907,0.5770746268656717,0.5416666666666666
0.6845150982810647,0.5739701492537314,0.5364583333333334
0.684360531407633,0.5745671641791045,0.5416666666666666
0.6842097711856509,0.5752835820895522,0.5364583333333334
0.6850112592741452,0.5720597014925373,0.5416666666666666
0.6846434526408499,0.574089552238806,0.546875
0.6849796901436979,0.5768358208955224,0.5520833333333334
0.6849879079499107,0.5748059701492537,0.546875
0.6846334763929219,0.5711044776119403,0.546875
0.6845442157610832,0.5730149253731344,0.5416666666666666
0.6833607618841367,0.5771940298507463,0.5572916666666666
0.6831802986109728,0.5797014925373134,0.5520833333333334
0.6845827845286764,0.5762388059701493,0.5520833333333334
0.6843201291821942,0.5773134328358209,0.5572916666666666
0.6848728889437462,0.5742089552238806,0.546875
0.6851081651530658,0.5726567164179105,0.5520833333333334
0.6844529286578029,0.5754029850746268,0.5416666666666666
0.6855658487547395,0.5733731343283581,0.546875
0.6846503525411269,0.5724179104477611,0.5416666666666666
0.6839570680171819,0.5762388059701493,0.5364583333333334
0.6857881711837742,0.5768358208955224,0.5520833333333334
0.6844484957983887,0.5724179104477612,0.546875
0.6849250177809179,0.5726567164179104,0.546875
